filename;description;en;bg;ro;tr;de;el;it;fr;es;pt;pl;cs;sk;hu;hr;sl
alert_combined_camera;Played for static combined (multiple enforcement types) camera dangers;combined camera;комбинирана камера;cameră combinată;kombine kamera;Kombiblitzer;συνδυασμένη κάμερα;telecamera combinata;radar combiné;radar combinado;radar combinado;fotoradar wielofunkcyjny;kombinovaná kamera;kombinovaná kamera;kombinált kamera;kombinirana kamera;kombinirana kamera
alert_speed_camera;Played for static speed cam dangers;speed camera;камера за скорост;cameră de viteză;hız kamerası;Geschwindigkeitskamera;κάμερα ταχύτητας;autovelox;radar fixe;radar de velocidad;radar de velocidade;fotoradar;rychlostní kamera;rýchlostná kamera;sebességmérő kamera;radarska kamera;radar
alert_live_police;;police enforcement;Пулицейски контрол;control de poliție;polis denetimi;Polizeikontrolle;αστυνομικός έλεγχος;controllo di polizia;contrôle policier;control policial;fiscalização policial;kontrola policji;policejní kontrola;policajná kontrola;rendőrségi ellenőrzés;policijska kontrola;policijski nadzor
alert_live_police_mobile_camera;;mobile police camera;мобилна полицейска камера;cameră mobilă de poliție;mobil polis kamerası;Mobile Polizeikamera;κινητή αστυνομική κάμερα;autovelox mobile;radar mobile de la police;radar móvil policial;radar móvel da polícia;mobilna kamera policji;mobilní policejní kamera;mobilná policajná kamera;mobil rendőrségi kamera;mobilna policijska kamera;mobilna policijska kamera
alert_live_hazard_construction;;construction zone;участък в ремонт;zonă de construcții;inşaat bölgesi;Baustelle;ζώνη εργασιών;zona di cantiere;zone de travaux;zona de obras;zona de obras;roboty drogowe;stavební zóna;stavebná zóna;építési terület;radna zona;gradbena cona
alert_live_hazard_accident;;accident;пътно произшествие;accident;kaza;Unfall;ατύχημα;incidente;accident;accidente;acidente;wypadek;nehoda;nehoda;baleset;nesreća;nesreča
alert_live_hazard_object_on_road;;object on road;предмет на пътя;obiect pe drum;yolda nesne;Gegenstand auf der Straße;αντικείμενο στο δρόμο;oggetto in strada;objet sur la route;objeto en calzada;objeto na estrada;obiekt na drodze;předmět na silnici;predmet na ceste;tárgy az úton;predmet na cesti;predmet na cesti
alert_live_hazard_vehicle_on_road;;vehicle on road;автомобил на пътя;vehicul pe drum;yolda araç;Fahrzeug auf der Straße;όχημα στο δρόμο;veicolo in strada;véhicule sur la route;vehículo en calzada;veículo na estrada;pojazd na drodze;vozidlo na silnici;vozidlo na ceste;jármű az úton;vozilo na cesti;vozilo na cesti
alert_live_hazard_other;;hazard;опасност;pericol;tehlike;Gefahr;κίνδυνος;pericolo;danger;peligro;perigo;zagrożenie;nebezpečí;nebezpečenstvo;veszély;opasnost;nevarnost
alert_live_hazard_pothole;;pothole;дупка на пътя;groapă în asfalt;çukur;Schlagloch;λακκούβα;buca in strada;nid-de-poule;bache;buraco na estrada;dziura w jezdni;výtluk;výtlk;kátyú;rupa na cesti;udarna jama
alert_live_road_closure;;road closure;затворен път;drum închis;yol kapalı;Straßensperrung;κλειστός δρόμος;strada chiusa;route fermée;corte de carretera;corte de estrada;droga zamknięta;uzavírka silnice;uzávera cesty;útlezárás;zatvorena cesta;zapora ceste
alert_distance_in_50m;;in 50 meters.;след педесет метра.;în 50 de metri.;50 metre içinde.;in 50 Metern.;σε 50 μέτρα.;tra 50 metri.;dans 50 mètres.;en 50 metros.;a 50 metros.;za 50 metrów.;za 50 metrů.;o 50 metrov.;50 méteren belül.;za 50 metara.;čez 50 metrov.
alert_distance_in_100m;;in one hundred meters.;след сто метра.;în o sută de metri.;yüz metre içinde.;in einhundert Metern.;σε εκατό μέτρα.;tra cento metri.;dans cent mètres.;en cien metros.;a cem metros.;za sto metrów.;za sto metrů.;o sto metrov.;száz méteren belül.;za sto metara.;čez sto metrov.
alert_distance_in_150m;;in 150 meters.;след стои педесет метра.;în 150 de metri.;150 metre içinde.;in 150 Metern.;σε 150 μέτρα.;tra 150 metri.;dans 150 mètres.;en 150 metros.;a 150 metros.;za 150 metrów.;za 150 metrů.;o 150 metrov.;150 méteren belül.;za 150 metara.;čez 150 metrov.
alert_distance_in_200m;;in 200 meters.;след двеста метра.;în 200 de metri.;200 metre içinde.;in 200 Metern.;σε 200 μέτρα.;tra 200 metri.;dans 200 mètres.;en 200 metros.;a 200 metros.;za 200 metrów.;za 200 metrů.;o 200 metrov.;200 méteren belül.;za 200 metara.;čez 200 metrov.
alert_distance_in_250m;;in 250 meters.;след двеста ипедесет метра.;în 250 de metri.;250 metre içinde.;in 250 Metern.;σε 250 μέτρα.;tra 250 metri.;dans 250 mètres.;en 250 metros.;a 250 metros.;za 250 metrów.;za 250 metrů.;o 250 metrov.;250 méteren belül.;za 250 metara.;čez 250 metrov.
alert_distance_in_300m;;in 300 meters.;след триста метра.;în 300 de metri.;300 metre içinde.;in 300 Metern.;σε 300 μέτρα.;tra 300 metri.;dans 300 mètres.;en 300 metros.;a 300 metros.;za 300 metrów.;za 300 metrů.;o 300 metrov.;300 méteren belül.;za 300 metara.;čez 300 metrov.
alert_distance_in_350m;;in 350 meters.;след триста и педесет метра.;în 350 de metri.;350 metre içinde.;in 350 Metern.;σε 350 μέτρα.;tra 350 metri.;dans 350 mètres.;en 350 metros.;a 350 metros.;za 350 metrów.;za 350 metrů.;o 350 metrov.;350 méteren belül.;za 350 metara.;čez 350 metrov.
alert_distance_in_400m;;in 400 meters.;след четири стотин метра.;în 400 de metri.;400 metre içinde.;in 400 Metern.;σε 400 μέτρα.;tra 400 metri.;dans 400 mètres.;en 400 metros.;a 400 metros.;za 400 metrów.;za 400 metrů.;o 400 metrov.;400 méteren belül.;za 400 metara.;čez 400 metrov.
alert_distance_in_450m;;in 450 meters.;след четири стотин и педесет метра.;în 450 de metri.;450 metre içinde.;in 450 Metern.;σε 450 μέτρα.;tra 450 metri.;dans 450 mètres.;en 450 metros.;a 450 metros.;za 450 metrów.;za 450 metrů.;o 450 metrov.;450 méteren belül.;za 450 metara.;čez 450 metrov.
alert_distance_in_500m;;in 500 meters.;след пет стотин метра.;în 500 de metri.;500 metre içinde.;in 500 Metern.;σε 500 μέτρα.;tra 500 metri.;dans 500 mètres.;en 500 metros.;a 500 metros.;za 500 metrów.;za 500 metrů.;o 500 metrov.;500 méteren belül.;za 500 metara.;čez 500 metrov.
alert_distance_in_600m;;in 600 meters.;след шест стотин метра.;în 600 de metri.;600 metre içinde.;in 600 Metern.;σε 600 μέτρα.;tra 600 metri.;dans 600 mètres.;en 600 metros.;a 600 metros.;za 600 metrów.;za 600 metrů.;o 600 metrov.;600 méteren belül.;za 600 metara.;čez 600 metrov.
alert_distance_in_700m;;in 700 meters.;след седем стотин метра.;în 700 de metri.;700 metre içinde.;in 700 Metern.;σε 700 μέτρα.;tra 700 metri.;dans 700 mètres.;en 700 metros.;a 700 metros.;za 700 metrów.;za 700 metrů.;o 700 metrov.;700 méteren belül.;za 700 metara.;čez 700 metrov.
alert_distance_in_800m;;in 800 meters.;след осем стотин метра.;în 800 de metri.;800 metre içinde.;in 800 Metern.;σε 800 μέτρα.;tra 800 metri.;dans 800 mètres.;en 800 metros.;a 800 metros.;za 800 metrów.;za 800 metrů.;o 800 metrov.;800 méteren belül.;za 800 metara.;čez 800 metrov.
alert_distance_in_900m;;in 900 meters.;след девет стотин метра.;în 900 de metri.;900 metre içinde.;in 900 Metern.;σε 900 μέτρα.;tra 900 metri.;dans 900 mètres.;en 900 metros.;a 900 metros.;za 900 metrów.;za 900 metrů.;o 900 metrov.;900 méteren belül.;za 900 metara.;čez 900 metrov.
alert_prefix_approaching;;approaching;приближавате;vă apropiați de;yaklaşıyor;Achtung;πλησιάζει;in avvicinamento;approche;aproximándose;a aproximar-se;zbliżasz się do;přibližujete se;priblíženie k;közeledik;približi se;bližanje
